"subcode","time","timeelap","phase","trialNr","trialBlock","isTarget","condition","cue","probe","answer","correct","rt"
"OGMC1QT7L8SDYKY3","11:26:13","5945","practice","1","1","true","AX","A","X","f","true","756.1"
"OGMC1QT7L8SDYKY3","11:26:21","13807","practice","2","2","false","BX","D","X","j","true","339.4"
"OGMC1QT7L8SDYKY3","11:26:29","21918","practice","3","3","true","AX","A","X","f","true","591.6"
"OGMC1QT7L8SDYKY3","11:26:37","29955","practice","4","4","false","BY","E","G","f","false","513.8"
"OGMC1QT7L8SDYKY3","11:26:46","38086","practice","5","5","true","AX","A","X","j","false","610.5"
"OGMC1QT7L8SDYKY3","11:26:53","45882","practice","6","6","true","AX","A","X","f","true","277"
"OGMC1QT7L8SDYKY3","11:27:02","54896","practice","7","7","false","AY","A","J","-","-","0"
"OGMC1QT7L8SDYKY3","11:27:10","62976","practice","8","8","true","AX","A","X","f","true","562.8"
"OGMC1QT7L8SDYKY3","11:27:19","71094","practice","9","9","true","AX","A","X","f","true","592.5"
"OGMC1QT7L8SDYKY3","11:27:28","80117","practice","10","10","true","AX","A","X","-","-","0"
"OGMC1QT7L8SDYKY3","11:27:39","91525","experiment","11","1","false","BY","P","U","j","true","856.8"
"OGMC1QT7L8SDYKY3","11:27:46","98619","experiment","12","2","true","AX","A","X","f","true","565.5"
"OGMC1QT7L8SDYKY3","11:27:54","106062","experiment","13","3","true","AX","A","X","j","false","914.8"
"OGMC1QT7L8SDYKY3","11:28:00","112959","experiment","14","4","true","AX","A","X","f","true","367.1"
"OGMC1QT7L8SDYKY3","11:28:09","120990","experiment","15","5","true","AX","A","X","-","-","0"
"OGMC1QT7L8SDYKY3","11:28:18","130616","experiment","16","6","false","AY","A","B","f","false","1113.8"
"OGMC1QT7L8SDYKY3","11:28:26","138046","experiment","17","7","true","AX","A","X","f","true","907.2"
"OGMC1QT7L8SDYKY3","11:28:33","145018","experiment","18","8","false","BX","V","X","j","true","445.7"
"OGMC1QT7L8SDYKY3","11:28:40","152129","experiment","19","9","true","AX","A","X","f","true","581"
"OGMC1QT7L8SDYKY3","11:28:47","159391","experiment","20","10","true","AX","A","X","f","true","741.7"
